Eval,m,p,t,Cl,Cd,Score
1,0.02,0.4,0.12,0.4041,0.00539,0.9196809999999997
2,0.0201,0.4,0.12,0.4055,0.00535,0.8930249999999995
3,0.02,0.4001,0.12,0.4042,0.00535,0.9177639999999999
4,0.02,0.4,0.1201,0.404,0.00534,0.9215999999999995
5,0.08999999604948926,0.6999999997240117,0.05000000027948104,1.4518,0.00787,90.59232400000002
6,0.027809083772358526,0.43346750373951537,0.11219091581810747,0.5052,0.00508,0.0027039999999999816
7,0.027909083772358526,0.43346750373951537,0.11219091581810747,0.5062,0.00507,0.0038439999999999794
8,0.027809083772358526,0.43356750373951536,0.11219091581810747,0.5037,0.00505,0.001369000000000027
9,0.027809083772358526,0.43346750373951537,0.11229091581810748,0.5063,0.00511,0.003968999999999965
10,0.020410612186894574,0.7,0.05,0.4885,0.0049,0.013225000000000023
11,0.024118614088341407,0.5664179497731663,0.08116914506495349,0.5062,0.00402,0.0038439999999999794
12,0.025964800544794962,0.4999084445170198,0.09668802963070847,0.5055,0.00448,0.0030249999999999444
13,0.02688721017351027,0.46667831879764393,0.1044417256348877,0.5019,0.00475,0.00036100000000000487
14,0.027346181802871974,0.45014370719936936,0.10829980167597361,0.5022,0.00487,0.0004839999999999911
15,0.027575763714801263,0.4418729394636397,0.11022964748172177,0.5044,0.00501,0.0019359999999999644
16,0.027691778779030604,0.43769345667240744,0.11120486013338554,0.5035,0.00504,0.0012249999999999633
17,0.027749169470301514,0.43562593718140835,0.11168728134813813,0.5056,0.00508,0.0031360000000000554
18,0.027779483125524113,0.4345338772736386,0.11194209532671605,0.5034,0.00504,0.001155999999999972
19,0.02779286684471265,0.4340517241635856,0.11205459771910516,0.5076,0.00517,0.005776000000000078
20,0.02780292428774675,0.43368940130177414,0.11213913972022711,0.5043,0.00507,0.0018489999999999746
21,0.02790292428774675,0.43368940130177414,0.11213913972022711,0.5049,0.00505,0.002401000000000015
22,0.02780292428774675,0.4337894013017741,0.11213913972022711,0.5045,0.00511,0.0020249999999999535
23,0.02780292428774675,0.43368940130177414,0.11223913972022712,0.5057,0.00512,0.003249000000000044
24,0.025847567918945404,0.438456882346541,0.05,0.4753,0.00396,0.061009
25,0.026887338184386822,0.4359217510986023,0.08304278996508893,0.5003,0.00441,8.999999999998018e-06
26,0.027343059743710218,0.4348106268399089,0.09752513502512294,0.5097,0.00472,0.00940900000000008
27,0.027581163689706454,0.4342300901830963,0.10509182445538132,0.5026,0.00488,0.0006760000000000243
28,0.027690713587369447,0.43396298948017703,0.10857320335174603,0.5007,0.00497,4.900000000000475e-05
29,0.027744726365159,0.43383129742731363,0.110289671817185,0.4543,0.00513,250000.208849
30,0.027797104495487977,0.4337035909143281,0.1119541929299229,0.5045,0.00508,0.0020249999999999535
31,0.027800199119831066,0.43369604571022524,0.11205253679066621,0.5046,0.00511,0.0021160000000000445
32,0.027801807058809015,0.4336921252900293,0.11210363537627775,0.5046,0.00507,0.0021160000000000445
33,0.027802560530210945,0.433690288202589,0.11212757989374116,0.5044,0.00509,0.0019359999999999644
34,0.027802805884439844,0.43368968998854773,0.1121353769894285,0.5058,0.00517,0.003364000000000032
