Eval,m,p,t,Cl,Cd,Score
1,0.02881352535205181,0.25101217620563243,0.14039382525908983,0.5359867925415828,0.0,4.580165296663952
2,0.059233911761587904,0.3903794407438904,0.158405913386531,0.9779887921291933,0.0,5.197888933652851
3,0.019263199126315144,0.5626163536530341,0.09336570228106712,0.47238024138410606,0.0,7.707273037394722
4,0.04354286752673603,0.1056076817955644,0.06282798344251826,0.6279665748648671,0.0,1.4892156850212095
5,0.016755552067156957,0.3409221700752076,0.18857128291215075,0.4212758244535158,0.0,10.805958358871576
6,0.04036813235604457,0.2653401965768669,0.11770627219692997,0.6623389084420523,0.0,0.7684466973130882
7,0.0314851726442359,0.6811323334215948,0.0650444923444971,0.7190217312295815,0.0,0.09596531360122884
8,0.070380145943158,0.5272519699003643,0.08329674970531856,1.1628763881109332,0.0,17.046691185952998
9,0.08808188382815879,0.1772271442665828,0.15377859862246246,1.2080542150222588,0.0,20.981366389965775
10,0.049045617422641324,0.2142112371111425,0.21308366055060207,0.8178025407121429,0.0,0.4597184527021791
11,0.07972600063934704,0.6010990372167753,0.1991993374322663,1.5210909101919226,0.0,59.45811917806076
12,0.06441258628146332,0.6430121250441689,0.24797315470417913,1.3833117532587151,0.0,40.108377681562764
13,0.07741527585219174,0.42084018404333196,0.2339570930826192,1.3234499133049902,0.0,32.88448030695007
14,0.009760675156507859,0.4646723319604295,0.1708948120158053,0.3376565042893046,0.0,17.00271584549163
15,0.0035915728533962646,0.3135432588063361,0.11497396864993827,0.23430749569302262,0.0,26.593875899840178
16,0.016876277798056494,0.45160991420169416,0.05390230239049279,0.3972339727787104,0.0,12.444386996149163
17,0.02823672657480683,0.3903794407438904,0.158405913386531,0.5707028627353115,0.0,3.2147463431312566
18,0.037734959544768215,0.5626163536530341,0.07329620579655051,0.7306057745523394,0.0,0.037613598071468454
19,0.03448651347533914,0.6256304904679818,0.06282798344251826,0.7205606622368343,0.0,0.08666746079337512
20,0.009706730346434093,0.44791096590335666,0.051090271459517,0.3056545389550347,0.0,19.744288875126273
21,0.03596666522276516,0.4043447744920139,0.11770627219692997,0.6540881795560186,0.0,0.9199077300878526
22,0.04481298443644463,0.25101217620563243,0.06566655098544097,0.6759596167564839,0.0,0.5481978350846746
23,0.016485535431900903,0.5827486753796998,0.10557896562454419,0.441814647507925,0.0,9.497821149066453
24,0.052962784538197596,0.6159322633931075,0.14236138556531722,1.057492812872981,0.0,9.455182996853813
25,0.049045617422641324,0.20901924723730744,0.1725349572886336,0.7857801051279423,0.0,0.1280215922966601
26,0.019987875073426854,0.47017033621637255,0.12293973504967994,0.4663751089986691,0.0,8.044307879551686
