# Global Coefficients
XFOIL_Cl,XFOIL_Cd,Potential_Cl
0.851,0.00465,0.8834951648916362

# Surface Distributions
x/c,Cp_Upper,Cp_Lower,Delta_Cp
-0.000099,0.617129,0.930646,0.313517
0.000095,0.166707,0.993797,0.827090
0.001072,-0.225992,0.879148,1.105140
0.002835,-0.487228,0.713924,1.201152
0.005383,-0.641744,0.565150,1.206894
0.008714,-0.730656,0.449377,1.180033
0.012825,-0.783018,0.363968,1.146986
0.017713,-0.815656,0.302214,1.117871
0.023372,-0.837744,0.257976,1.095720
0.029795,-0.854199,0.226557,1.080757
0.036974,-0.867650,0.204552,1.072203
0.044901,-0.879482,0.189525,1.069007
0.053564,-0.890400,0.179726,1.070126
0.062951,-0.900731,0.173885,1.074616
0.073050,-0.910589,0.171067,1.081656
0.083845,-0.919968,0.170573,1.090541
0.095319,-0.928796,0.171869,1.100665
0.107456,-0.936963,0.174545,1.111508
0.120236,-0.944344,0.178276,1.122619
0.133639,-0.950805,0.182804,1.133609
0.147644,-0.956214,0.187919,1.144133
0.162227,-0.960443,0.193446,1.153889
0.177364,-0.963372,0.199238,1.162610
0.193031,-0.964886,0.205171,1.170057
0.209200,-0.964881,0.211134,1.176014
0.225844,-0.963258,0.217029,1.180288
0.242935,-0.959930,0.222770,1.182699
0.260443,-0.954809,0.228273,1.183082
0.278338,-0.947815,0.233461,1.181276
0.296590,-0.938863,0.238257,1.177120
0.315166,-0.927860,0.242581,1.170440
0.334035,-0.914689,0.246347,1.161036
0.353164,-0.899190,0.249452,1.148642
0.372520,-0.881100,0.251760,1.132860
0.392070,-0.859909,0.253055,1.112965
0.411781,-0.834092,0.252895,1.086987
0.431544,-0.803377,0.250637,1.054014
0.451305,-0.774581,0.247538,1.022119
0.471108,-0.749112,0.246373,0.995485
0.490946,-0.725204,0.246015,0.971219
0.510788,-0.702092,0.246013,0.948105
0.530602,-0.679420,0.246167,0.925587
0.550356,-0.656990,0.246362,0.903352
0.570020,-0.634680,0.246523,0.881203
0.589561,-0.612406,0.246602,0.859008
0.608951,-0.590114,0.246565,0.836679
0.628158,-0.567761,0.246388,0.814149
0.647152,-0.545319,0.246056,0.791375
0.665905,-0.522764,0.245560,0.768325
0.684387,-0.500080,0.244897,0.744977
0.702571,-0.477252,0.244068,0.721320
0.720428,-0.454269,0.243079,0.697348
0.737931,-0.431123,0.241938,0.673060
0.755055,-0.407806,0.240657,0.648464
0.771773,-0.384314,0.239254,0.623569
0.788060,-0.360643,0.237748,0.598391
0.803893,-0.336790,0.236161,0.572952
0.819247,-0.312755,0.234521,0.547276
0.834099,-0.288536,0.232858,0.521394
0.848430,-0.264137,0.231207,0.495344
0.862216,-0.239561,0.229608,0.469169
0.875438,-0.214811,0.228109,0.442920
0.888078,-0.189896,0.226763,0.416659
0.900117,-0.164824,0.225635,0.390459
0.911537,-0.139606,0.224801,0.364407
0.922322,-0.114260,0.224354,0.338614
0.932458,-0.088807,0.224407,0.313215
0.941930,-0.063276,0.225105,0.288382
0.950724,-0.037708,0.226630,0.264338
0.958829,-0.012156,0.229217,0.241373
0.966232,0.013310,0.233173,0.219863
0.972925,0.038605,0.238893,0.200288
0.978897,0.063662,0.246876,0.183214
0.984140,0.088510,0.257702,0.169192
0.988648,0.113515,0.271913,0.158398
0.992413,0.139989,0.289667,0.149678
0.995432,0.171567,0.309997,0.138430
0.997700,0.216613,0.329847,0.113233
0.999213,0.285827,0.345842,0.060015
0.999970,0.373110,0.373110,-0.000000
